City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
168,Port Elizabeth,ZA,-33.918,25.5701,57.99,85,67,1.79,broken clouds
169,Abu Samrah,SY,35.3029,37.1841,45.3,79,6,5.91,clear sky
170,Tompa,HU,46.2061,19.5391,50.0,61,70,11.01,broken clouds
171,Hithadhoo,MV,-0.6,73.0833,82.85,74,96,11.56,overcast clouds
172,Sept-Iles,CA,50.2001,-66.3821,55.4,58,75,4.61,broken clouds
173,Meitingen,DE,48.55,10.85,50.0,76,90,8.05,overcast clouds
174,Jijiga,ET,9.35,42.8,66.2,69,45,4.83,scattered clouds
175,Canico,PT,32.6333,-16.85,66.2,82,40,4.61,scattered clouds
176,Seymchan,RU,62.8833,152.4333,-8.99,91,92,3.51,overcast clouds
177,Adrar,MR,20.5022,-10.0711,80.24,17,21,12.57,few clouds
178,Qui Nhon,VN,13.7667,109.2333,74.73,88,8,5.61,clear sky
179,Mao,ES,39.8885,4.2658,57.2,94,40,2.3,scattered clouds
180,Aksu,CN,41.1231,80.2644,54.72,26,0,5.48,clear sky
181,Logansport,US,40.7545,-86.3567,57.2,67,90,11.5,overcast clouds
182,Camopi,GF,3.1655,-52.3158,74.82,97,54,2.37,broken clouds
183,Victoria,HK,22.2855,114.1577,73.0,85,95,1.01,overcast clouds
184,Amalner,IN,21.05,75.0667,90.34,16,71,4.9,broken clouds
185,Alice Springs,AU,-23.7,133.8833,46.4,81,30,3.44,scattered clouds
186,Bongandanga,CD,1.5,21.05,70.0,89,98,2.24,overcast clouds
187,Guerrero Negro,MX,27.9769,-114.0611,66.06,61,99,17.18,overcast clouds
188,Inhambane,MZ,-23.865,35.3833,72.81,82,0,7.31,clear sky
189,Yerbogachen,RU,61.2767,108.0108,3.96,99,71,2.46,broken clouds
190,Khandyga,RU,62.6667,135.6,14.31,92,100,2.48,overcast clouds
191,Fantino,DO,19.1215,-70.2997,82.99,55,17,4.0,few clouds
192,Caravelas,BR,-17.7125,-39.2481,75.11,81,13,5.08,few clouds
193,Camacha,PT,33.0833,-16.3333,64.4,94,40,4.61,scattered clouds
194,Coleraine,GB,55.1333,-6.6667,37.4,87,90,1.14,overcast clouds
195,Bacolod,PH,10.6667,122.95,77.47,81,80,7.18,broken clouds
196,Barra Patuca,HN,15.8,-84.2833,83.79,76,1,16.2,clear sky
197,Langsa,ID,4.4683,97.9683,73.36,95,48,1.61,scattered clouds
198,Mantua,IT,45.1667,10.7833,51.01,90,100,1.99,overcast clouds
199,Barra Do Garcas,BR,-15.89,-52.2567,75.63,69,0,2.53,clear sky
200,Semnan,IR,35.5729,53.3971,65.25,42,83,2.91,broken clouds
201,Aktau,KZ,43.65,51.2,64.4,29,2,20.13,clear sky
202,Thompson,CA,55.7435,-97.8558,24.8,68,90,11.5,overcast clouds
203,Camocim,BR,-2.9022,-40.8411,77.88,88,98,10.18,overcast clouds
204,Silver City,US,32.7701,-108.2803,75.2,9,1,19.57,clear sky
205,Dali,CN,25.7,100.1833,51.44,81,1,4.74,clear sky
206,Ontario,US,34.0633,-117.6509,77.0,40,75,8.05,broken clouds
207,Olafsvik,IS,64.8945,-23.7142,35.94,75,98,20.33,overcast clouds
208,Meulaboh,ID,4.1363,96.1285,77.29,86,96,3.49,overcast clouds
209,Nefteyugansk,RU,61.0998,72.6035,41.0,100,75,11.18,broken clouds
210,Santa Ines,BR,-3.6667,-45.38,75.18,93,99,2.01,light rain
211,Sawtell,AU,-30.3833,153.1,55.4,47,0,6.91,clear sky
212,Leh,IN,34.1667,77.5833,29.53,90,100,2.51,light snow
213,Carnarvon,AU,-24.8667,113.6333,78.8,89,40,13.8,scattered clouds
214,Rio Gallegos,AR,-51.6226,-69.2181,57.2,33,0,14.97,clear sky
215,Ahipara,NZ,-35.1667,173.1667,70.47,76,41,3.29,scattered clouds
216,Constitucion,CL,-35.3333,-72.4167,64.09,66,0,15.28,clear sky
217,Reconquista,AR,-29.15,-59.65,63.77,70,17,9.1,few clouds
218,Arlit,NE,18.7369,7.3853,86.27,7,0,12.08,clear sky
219,Shaowu,CN,27.3409,117.4831,65.16,95,96,1.03,light rain
220,Washington,US,47.5001,-120.5015,55.0,21,0,4.0,clear sky
221,Port Hardy,CA,50.6996,-127.4199,46.4,46,20,13.8,few clouds
222,Blagoyevo,RU,63.3667,47.9167,34.27,80,20,11.68,few clouds
223,Narsaq,GL,60.9167,-46.05,50.0,29,0,11.5,clear sky
224,Kommunar,RU,59.6206,30.39,42.8,49,0,6.71,light rain
225,Aklavik,CA,68.2191,-135.0107,8.6,36,15,4.61,few clouds
226,Altamira,BR,-3.2033,-52.2064,80.6,89,40,2.3,moderate rain
227,Kushmurun,KZ,52.4503,64.6311,27.86,92,26,1.7,scattered clouds
228,Lamont,US,35.2597,-118.9143,82.0,37,100,5.99,overcast clouds
229,Namatanai,PG,-3.6667,152.4333,78.96,83,100,6.24,light rain
230,Hamilton,US,39.1834,-84.5333,53.01,82,90,11.5,overcast clouds
231,La Ronge,CA,55.1001,-105.2842,35.6,55,100,6.91,overcast clouds
232,Margate,GB,51.3813,1.3862,39.0,70,92,4.72,overcast clouds
233,Berlevag,NO,70.8578,29.0864,33.8,80,40,28.77,scattered clouds
234,Murdochville,CA,48.9583,-65.5006,41.0,93,100,3.44,overcast clouds
235,Chifeng,CN,42.2683,118.9636,46.72,64,1,7.52,clear sky
236,Shimoda,JP,34.6667,138.95,54.0,55,68,5.01,broken clouds
237,Cotonou,BJ,6.3654,2.4183,84.2,74,20,8.05,few clouds
238,Hachinohe,JP,40.5,141.5,43.0,85,8,6.11,clear sky
239,Vila Franca Do Campo,PT,37.7167,-25.4333,62.6,94,75,8.05,broken clouds
240,Raudeberg,NO,61.9875,5.1352,37.99,79,33,14.63,scattered clouds
241,Dudinka,RU,69.4058,86.1778,27.5,90,100,21.99,overcast clouds
242,Sulangan,PH,11.1373,123.7228,81.72,73,79,13.56,broken clouds
243,Alofi,NU,-19.0595,-169.9187,77.0,88,38,5.75,scattered clouds
244,Sarkand,KZ,45.41,79.9186,46.27,46,0,5.57,clear sky
245,Cabo San Lucas,MX,22.8909,-109.9124,84.99,34,75,11.5,broken clouds
246,Tonj,SS,7.2737,28.6822,82.67,48,80,3.51,broken clouds
247,Igboho,NG,8.8333,3.75,79.83,69,15,12.62,few clouds
248,Decatur,US,39.8403,-88.9548,50.0,100,90,9.22,overcast clouds
249,Sirvintos,LT,55.05,24.95,55.0,37,0,11.5,clear sky
250,Ola,RU,59.5833,151.2833,10.13,71,100,18.7,overcast clouds
251,Ostrovnoy,RU,68.0531,39.5131,32.04,80,79,27.56,broken clouds
252,Tooele,US,40.5308,-112.2983,50.0,40,1,5.75,clear sky
253,Bontang,ID,0.1333,117.5,76.5,89,65,2.95,broken clouds
254,Ludvika,SE,60.1496,15.1878,34.0,100,90,11.5,snow
255,Santa Marta,CO,11.2408,-74.199,80.73,82,100,14.54,overcast clouds
256,Talnakh,RU,69.4865,88.3972,23.52,94,100,13.27,overcast clouds
257,Kavieng,PG,-2.5744,150.7967,78.01,84,100,2.15,light rain
258,Mahebourg,MU,-20.4081,57.7,77.0,94,75,4.61,broken clouds
259,San Cristobal,VE,7.7669,-72.225,89.6,51,40,11.5,scattered clouds
260,Nipawin,CA,53.3668,-104.0009,30.2,93,90,18.41,snow
261,Kristiansund,NO,63.1115,7.732,35.6,75,32,4.61,scattered clouds
262,Castro,BR,-24.7911,-50.0119,65.25,71,11,4.74,few clouds
263,Bonavista,CA,48.6499,-53.1147,35.6,100,100,9.22,moderate rain
264,Pedasi,PA,7.5333,-80.0333,81.0,70,83,7.18,broken clouds
265,Pangnirtung,CA,66.1451,-65.7125,33.8,60,75,3.53,broken clouds
