City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
644,Sao Jose Da Coroa Grande,BR,77.81,heavy intensity rain,-8.8978,-35.1478,Crôa Mares Hotel
645,Wattegama,LK,73.35,overcast clouds,6.7989,81.4808,
647,Trelew,AR,70.43,clear sky,-43.248999999999995,-65.3051,Hotel Touring Club
648,Morondava,MG,77.9,overcast clouds,-20.2833,44.2833,La Case Bambou
653,Grass Valley,US,72.0,clear sky,39.2191,-121.0611,Holbrooke Hotel
654,Ishigaki,JP,73.4,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
656,Bambous Virieux,MU,79.0,broken clouds,-20.3428,57.7575,Casa Tia Villa
657,Tambong,PH,74.66,overcast clouds,12.9639,121.4846,Bali Beach Resort Mindoro
659,Viru,PE,69.8,fog,-8.4167,-78.75,AYAR PORTENTOS DE MONTAÑA
662,Loa Janan,ID,72.23,scattered clouds,-0.583,117.095,Pondok hijau 2A
664,Boffa,GN,76.82,scattered clouds,10.1667,-14.0333,Hôtel Niara Belly
665,Sao Lourenco Do Sul,BR,68.0,overcast clouds,-31.3653,-51.9783,Hotel Pousada Verde Água
666,Morros,BR,77.27,overcast clouds,-9.4467,-46.3003,
668,Gao,ML,88.92,clear sky,16.6362,1.6369999999999998,
669,Valparaiso,CL,71.6,clear sky,-33.0393,-71.6273,Hotel Ultramar
670,San Policarpo,PH,77.54,overcast clouds,12.1791,125.5072,JM Lodge
672,Conceicao Do Araguaia,BR,84.2,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
673,Dabakala,CI,84.36,scattered clouds,8.3667,-4.4333,Hôtel Campement
681,Davidson,US,73.4,clear sky,36.1501,-86.7833,Best Western Plus Music Row
683,Staunton,US,69.8,scattered clouds,38.1496,-79.0717,Hotel 24 South
684,Bilma,NE,84.06,few clouds,18.6853,12.9164,Expeditions Ténére voyages
689,Nisia Floresta,BR,82.4,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
691,Mutis,CO,81.27,broken clouds,6.2262,-77.4044,Paraiso Escondido
693,Acandi,CO,81.7,overcast clouds,8.5063,-77.2778,Hotel Patio Bonito
694,Maceio,BR,71.6,mist,-9.6658,-35.7353,Poutur Pousada
695,Maragogi,BR,77.11,light rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
696,Los Llanos De Aridane,ES,68.0,clear sky,28.6585,-17.9182,Valle Aridane
698,Canavieiras,BR,75.7,broken clouds,-15.675,-38.9472,Bahiadomizil
699,Yenagoa,NG,77.76,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
701,Mundra,IN,78.62,clear sky,22.85,69.7333,Hotel Bansidhar Palace
702,Mogadishu,SO,81.75,overcast clouds,2.0371,45.3438,Olympic Hotel
705,Puri,IN,78.8,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
